date;pakistan;iran;event
1979;;;Soviet invasion of Afghanistan
1988;Bilateral agreement between UNHCR and Pakistan;;
1992;;First repatriation tripartite agreement between UNHCR, Afghanistan and Iran;
1993;Repatriation of Afghan refugees formally starts;About 600,000 Afghans repatriatd. 300,000 under the repatriation program.;
1993;Tripartite Agreement Between UNHCR, Afghanistan and Pakistan;;
1993;UNHCR presence in Pakistan formalized;;
2000;;UNHCR and Iran provided Afghans who wanted to repatriate with an assistant package: $40, 50 kg of wheat and free transportation to Afghanistan.;
2001;UNHCR and Pakistan formalize agreement for screening of Afghan Refugees;;US attacks Afghanistan after 9/11
2002;;Ten repatriation centers opened to register Afghans planning to return;
2002;;New Tripartite Agreement between UNHCR, Afghanistan and Iran on accelerating the repatriation;
2003;Tripartite Agreement Between UNHCR, Afghanistan and Pakistan;;
2005;;Mahmoud Ahmadinejad became Iran_s President and pursued repatriation policies. Repatriation policies were pursued strictly. ;
2005;First ever census for Afghan refugees concluded;;
2007;;"ú   Iran_s Ministry of Labor issued heavy fines to employers who had illegally hired 150,000 Afghans. ú   April: Iran_s Interior Minister said the country would pay $100 to any Afghan family who retunrs home. UNHCR stated that more than 36,000 Afghans were returned within 10 days.ú  May: Protests took place in front of Afghanistan_s Foreign Ministry and Iran_s Embassy in Kabul: People shouting: _Death to Ahmadinejad_ú  December: Afghan Vice President stated after a visit to Iran that Tehran has agreed to stop the repatriation during the winter. The next month Iran officially paused repatriation. ";
2007;Proof of Identity cards were issued to Afghan refugees;;
2009;;Iranian pursues friendlier policy towards Afghan refugees;
2009;UNHCR and Pakistan sign new agreement;;
2010;;After three years pause, Iran asked both documented and undocumented Afghans to return home within six months.;
2013;;". August: Hassan Rouhani became President. ú September: Iran Police Commander: _We shouldn_t mistreat Afghans_ We returned them to their country and after a while we noticed that the livestock and brick industries of our country faced problems._";
2014;New Proof of Residency cards issued to Afghan refugees;;
2016;;Iranian President Rouhani assured Abdullah Abdullah, Chief Executive of the Islamic Republic of Afghanistan, that Iran has no plan for forceful repatriation and tries to get all immigrants in Iran get legally registered.;
2017;Pakistan implementing its national census with controversies over headcounting Afghan refugee population ;Iran conducting a census especifically on undocumented Afghan population ;
