"","PILLAR 1Refugeeprogramme",Total
"",PILLAR 1,
FINAL BUDGET,"39,882,139","39,882,139"
"",,
Income from contributions,"16,807,032","16,807,032"
Other funds available,"14,071,100","14,071,100"
TOTAL FUNDS AVAILABLE,"30,878,132","30,878,132"
"",,
EXPENDITURE BREAKDOWN,,
Favourable protection environment,,
National legal framework,"224,315","224,315"
Cooperation with partners,"104,424","104,424"
National development policies,"185,817","185,817"
Public attitudes towards persons of concern,"102,055","102,055"
Access to territory,"26,036","26,036"
Non-refoulement,"13,090","13,090"
Subtotal,"655,737","655,737"
Fair protection processes and documentation,,
Reception conditions,"102,450","102,450"
Registration and profiling,"525,448","525,448"
Access to asylum procedures,"15,853","15,853"
Refugee and stateless definitions,"84,611","84,611"
Fair and efficient status determination,"28,456","28,456"
Civil status documentation,"189,601","189,601"
Subtotal,"946,419","946,419"
Security from violence and exploitation,,
Gender-based violence,"210,526","210,526"
Protection of children,"219,972","219,972"
Freedom of movement,"72,441","72,441"
Non-arbitrary detention,"85,549","85,549"
Access to legal remedies,"401,721","401,721"
Subtotal,"990,209","990,209"
"PILLAR 1Refugeeprogramme"
PILLAR 1
"","PILLAR 1Refugeeprogramme",Total
"",PILLAR 1,
Basic needs and essential services,,
Nutrition,"56,112","56,112"
Water,"271,043","271,043"
Shelter and other infrastructure,"1,197,887","1,197,887"
Basic domestic and hygiene items,"332,382","332,382"
Primary health care,"13,436,062","13,436,062"
HIV and AIDS,"139,959","139,959"
Education,"1,676,897","1,676,897"
Sanitation services,"94,779","94,779"
Services for groups with specific needs,"349,304","349,304"
Subtotal,"17,554,425","17,554,425"
Community participation and self-management,,
Participatory assessment,"180,487","180,487"
Community self-management,"174,615","174,615"
Camp management and coordination,"121,129","121,129"
Self-reliance and livelihoods,"596,851","596,851"
Subtotal,"1,073,082","1,073,082"
Durable solutions,,
Durable solutions strategy,"198,887","198,887"
Voluntary return,"2,235,784","2,235,784"
Resettlement,"670,161","670,161"
Subtotal,"3,104,832","3,104,832"
External relations,,
Donor relations,"145,349","145,349"
Resource mobilisation,"150,262","150,262"
Partnership,"155,918","155,918"
Public information,"179,397","179,397"
Subtotal,"630,926","630,926"
Logistics and operations support,,
Supply chain and logistics,"292,320","292,320"
Programme management and coordination,"1,536,294","1,536,294"
Subtotal,"1,828,614","1,828,614"
Balance of instalments with implementing partners,"4,093,888","4,093,888"
Total,"30,878,132","30,878,132"
"PILLAR 1Refugeeprogramme"
PILLAR 1
