Afghanistan,Australia,"4,871,324",,"4,871,324"
"",Belgium,"1,572,327",,"1,572,327"
"",Canada,"1,949,318",,"1,949,318"
"",CERF,"1,095,590",,"1,095,590"
"",China,"401,906",,"401,906"
"",Denmark,"1,174,168",,"1,174,168"
"",European Commission,"11,572,778",,"11,572,778"
"",France,"892,528",,"892,528"
"",Germany,"8,209,601",,"8,209,601"
"",Italy,"6,342,403",,"6,342,403"
"",Japan,"13,500,000",,"13,500,000"
"",Netherlands,"2,703,000",,"2,703,000"
"",Norway,"2,340,683",,"2,340,683"
"",Australia for UNHCR,"41,791",,"41,791"
"",Private donors in Italy,"2,577",,"2,577"
"",Japan Association for UNHCR,"313,340",,"313,340"
"",Private donors in Japan,"6,101",,"6,101"
"",España con ACNUR,"1,077,824",,"1,077,824"
"",Private donors in the United Kingdom,"2,010",,"2,010"
"",USA for UNHCR,"89,514",,"89,514"
"",Switzerland,"744,695",,"744,695"
"",United Kingdom,"1,948,676",,"1,948,676"
"",United States of America,"131,216",,"131,216"
"",Afghanistan Subtotal,"60,983,368",,"60,983,368"
Islamic Republic of Iran,European Commission,"2,188,632",,"2,188,632"
"",Japan,"1,500,000",,"1,500,000"
"",Netherlands,"59,468",,"59,468"
"",Statoil Iran,"37,134",,"37,134"
"",The Mexican Charity Bazar (Iran),"11,994",,"11,994"
"",Spain,"323,834",,"323,834"
"",United States of America,"88,799",,"88,799"
"",Islamic Republic of Iran Subtotal,"4,209,862",,"4,209,862"
Pakistan,Australia,"502,805",,"502,805"
"",Canada,,"899,420","899,420"
"",CERF,"1,100,000","1,950,648","3,050,648"
"",European Commission,"1,630,101",,"1,630,101"
"",France,,"135,569","135,569"
"",Germany,"79,983",,"79,983"
"",Italy,"2,300,970",,"2,300,970"
"",Japan,"2,700,000","3,800,821","6,500,821"
"",Netherlands,,"1,256,756","1,256,756"
"",Spain,"323,834",,"323,834"
"",Sweden,,"351,208","351,208"
"",United Kingdom,"367,647",,"367,647"
"",United Nations Children Fund (UNICEF),,"265,737","265,737"
"",United States of America,"251,199","3,999,000","4,250,199"
"",Pakistan Subtotal,"9,256,539","12,659,159","21,915,698"
South-West Asia Subregion,Sweden,"7,858,243",,"7,858,243"
"",United States of America,"24,156,000",,"24,156,000"
"",South-West Asia Subtotal,"32,014,243",,"32,014,243"
Grand Total,,"106,464,012","12,659,159","119,123,171"
