"",,"PILLAR 1Refugeeprogramme","PILLAR 4IDPprojects",Total
PILLAR 1,PILLAR 4,,,
"PILLAR 1Refugeeprogramme"
PILLAR 1
"PILLAR 4IDPprojects"
PILLAR 4
EXPENDITURE BREAKDOWN,,,
Favourable protection environment,,,
International and regional instruments,"48,752",0,"48,752"
National legal framework,"78,957",0,"78,957"
National administrative framework,"206,454","142,705","349,159"
Policies towards forced displacement,0,"608,282","608,282"
National and regional migration policy,"78,957",0,"78,957"
Prevention of statelessness,"20,647",0,"20,647"
Co-operation with partners,"2,752",0,"2,752"
National development policies,0,"113,925","113,925"
Public attitudes towards persons of concern,"80,575","113,925","194,500"
Non-refoulement,"95,870",0,"95,870"
Subtotal,"612,964","978,836","1,591,799"
Fair protection processes and documentation,,,
Reception conditions,"2,064","301,432","303,496"
Registration and profiling,"1,239,626","1,414,844","2,654,470"
Refugee and stateless definitions,674,0,674
Fair and efficient status determination,"170,114",0,"170,114"
Civil status documentation,"141,342",0,"141,342"
Subtotal,"1,553,820","1,716,276","3,270,096"
Security from violence and exploitation,,,
Impact on host communities,"1,454,689","1,008,409","2,463,098"
Law enforcement,"63,008","113,925","176,932"
Community security management system,0,"113,924","113,924"
Gender-based violence,"100,605","451,490","552,095"
Protection of children,"61,446",0,"61,446"
Freedom of movement,"57,920",0,"57,920"
Non-arbitrary detention,"427,530",0,"427,530"
Access to legal remedies,"302,399","220,733","523,132"
Subtotal,"2,467,597","1,908,481","4,376,078"
Basic needs and essential services,,,
Food security,0,"773,808","773,808"
Water,"382,500","252,102","634,602"
Shelter and other infrastructure,"8,233,866","48,353,274","56,587,140"
Basic domestic and hygiene items,"1,160,282","24,873,067","26,033,350"
Primary health care,"4,027,798",0,"4,027,798"
HIV and AIDS,"178,816",0,"178,816"
Education,"1,416,917",0,"1,416,917"
Sanitation services,"67,573",0,"67,573"
Services for groups with specific needs,"147,526","1,239,948","1,387,474"
Subtotal,"15,615,277","75,492,200","91,107,477"
"","PILLAR 1Refugeeprogramme","PILLAR 4IDPprojects",Total
"",PILLAR 1,PILLAR 4,
Community participation and self-management,,,
"Participatory assessment and communitymobilisation","135,146","463,079","598,224"
"Community self-management and equalrepresentation","671,993","925,708","1,597,700"
Camp management and coordination,0,"1,467,738","1,467,738"
Self-reliance and livelihoods,"150,403","495,656","646,058"
Subtotal,"957,541","3,352,180","4,309,721"
Durable solutions,,,
Voluntary return,"1,161,881","888,453","2,050,333"
Rehabilitation and reintegration support,0,"259,285","259,285"
Resettlement,"210,437",0,"210,437"
Subtotal,"1,372,318","1,147,737","2,520,055"
External relations,,,
Donor relations,"135,472","228,049","363,521"
Partnership,"135,149",0,"135,149"
Public information,"348,148","1,283,668","1,631,816"
Subtotal,"618,769","1,511,717","2,130,486"
Logistics and operations support,,,
Supply chain and logistics,"1,149,332","4,367,179","5,516,510"
"Programme management, coordination andsupport","1,170,024","3,841,426","5,011,450"
Subtotal,"2,319,356","8,208,604","10,527,960"
Instalments to implementing partners,"14,433,605","27,623,028","42,056,632"
Other objectives,"6,561",0,"6,561"
Total,"39,957,808","121,939,059","161,896,867"
"PILLAR 1Refugeeprogramme"
PILLAR 1
"PILLAR 4IDPprojects"
PILLAR 4
