Expenditure breakdown,Current year's projects,Previous years' projects
"",Annual budget,Annual and supplementary budgets
"Protection, monitoring andcoordination","11,547,838",0
Community services,"577,356","94,059"
"Domestic needs and householdsupport","30,465,249","6,546"
Health and nutrition,"186,287","81,407"
Income generation,"519,923","996,098"
Legal assistance,"2,382,129","1,196,574"
Operational support (to agencies),"2,540,664","507,734"
Shelter and infrastructure,"7,386,618","806,294"
Transport and logistics,"7,054,710","446,591"
Water,"50,899","4,200"
"Instalments with implementingpartners","2,543,944","(4,139,503)"
Sub-total operational activities,"65,255,618",0
Programme support,"5,074,309",0
Total expenditure,"70,329,927",0
"",,
