"",,,PILLAR 1,PILLAR 3,PILLAR 4,
"",Country,,Refugee,Reintegration,IDP,
"",,,programme,projects,projects,Total
Afghanistan,Budget,,"51,093,485","46,829,610","11,812,591","109,735,686"
"",Expenditure,,"28,829,678","27,639,064","11,572,590","68,041,332"
Islamic Republic of Iran,Budget,,"36,534,955",0,0,"36,534,955"
"",Expenditure,,"20,746,348",0,0,"20,746,348"
Pakistan,Budget,,"95,459,274",0,"206,854,620","302,313,894"
"",Expenditure,,"39,957,808",0,"121,939,059","161,896,867"
"",Total budget,,"183,087,714","46,829,610","218,667,211","448,584,535"
"",Total expenditure,,"89,533,834","27,639,064","133,511,649","250,684,547"
Earmarking / Donor,"PILLAR 1Refugeeprogramme","PILLAR 3Reintegrationprojects","PILLAR 4IDPprojects",All pillars,Total
"",PILLAR 1,PILLAR 3,PILLAR 4,,
SOUTH-WEST ASIA SUBREGION,,,,,
Finland,,,,"1,443,001","1,443,001"
Sweden,,,,"7,670,851","7,670,851"
United States of America,,,,"37,500,000","37,500,000"
South-West Asia subtotal,0,0,0,"46,613,852","46,613,852"
AFGHANISTAN,,,,,
Australia,,"270,441",,"4,943,639","5,214,080"
Austria,,,,"663,130","663,130"
Belgium,,"1,233,046",,,"1,233,046"
Canada,,,,"2,814,259","2,814,259"
Denmark,,"4,546,669","444,050","252,000","5,242,718"
European Commission,"2,553,814","4,237,488",,"2,411,463","9,202,765"
France,,,,"404,858","404,858"
Germany,"1,064,488",,"1,894,212",,"2,958,700"
HQ online donations,,,,241,241
Japan,"9,230,000","8,825,232","1,338,800","3,499,968","22,894,000"
Netherlands,,,,"4,150,000","4,150,000"
Norway,,,,"4,416,977","4,416,977"
Russian Federation,,,,"200,000","200,000"
Sweden,,,,"7,644,916","7,644,916"
Switzerland,,,"235,405",,"235,405"
USA for UNHCR,"4,687",,,"128,875","133,562"
Afghanistan subtotal,"12,852,989","19,112,875","3,912,467","31,530,326","67,408,658"
ISLAMIC REPUBLIC OF IRAN,,,,,
Australia,"100,000",,,"1,748,252","1,848,252"
Brazil,,,,"500,000","500,000"
Czech Republic,"82,595",,,,"82,595"
European Commission,"3,915,183",,,,"3,915,183"
Germany,"1,233,046",,,,"1,233,046"
Japan,"6,800,000",,,,"6,800,000"
Norway,"1,023,716",,,,"1,023,716"
Islamic Republic of Iran subtotal,"13,154,539",0,0,"2,248,252","15,402,791"
PAKISTAN,,,,,
Andorra,,,,"35,014","35,014"
Arab Gulf Programme for UN Development,"50,000",,,,"50,000"
Australia,"189,860",,"929,368","2,710,027","3,829,255"
Australia for UNHCR,431,,,"919,589","920,019"
Austria,,,,"544,218","544,218"
