Expenditure breakdown,Current year’s projects,"Previous years’projects",,
"",AB,SB,Total,AB and SB
"Protection, monitoring and coordination","5,009,337","337,590","5,346,927",0
Community services,"500,742",0,"500,742",0
Domestic needs and household support,107,0,107,0
Health and nutrition,"1,722,960",0,"1,722,960","45,987"
Legal assistance,"339,748",0,"339,748","44,445"
Operational support (to agencies),"60,205",0,"60,205","62,225"
Shelter and infrastructure,"51,809","102,274","154,084","10,851"
Transport and logistics,"518,082",0,"518,082","407,639"
Instalments with implementing partners,"1,735,258","18,783","1,754,041","(571,147)"
Sub-total operational activities,"9,938,249","458,648","10,396,897",0
Programme support,"2,553,488","49,330","2,602,818",0
Total expenditure,"12,491,737","507,978","12,999,715",0
