"",Earmarking / Donor,"PILLAR 1Refugeeprogramme","PILLAR 3Reintegrationprojects","PILLAR 4IDPprojects",All pillars,Total
"",,PILLAR 1,PILLAR 3,PILLAR 4,,
"",SOUTH-WEST ASIA SUBREGION,,,,,
"",Finland,,,,"1,373,626","1,373,626"
"",United States of America,,,,"49,200,000","49,200,000"
"",South-West Asia subtotal,0,0,0,"50,573,626","50,573,626"
"",AFGHANISTAN,,,,,
"",Australia,,"404,903",,"802,139","1,207,042"
"",Canada,,,,"3,007,136","3,007,136"
"",Denmark,,"4,039,250","466,459","252,000","4,757,709"
"",European Union,"2,205,200","6,202,331","1,135,270","381,078","9,923,878"
"",Iceland,,,,"100,000","100,000"
"",Japan,"7,684,100","9,136,500","979,400","3,500,000","21,300,000"
"",Netherlands,,,,"3,750,000","3,750,000"
"",Norway,,,,"2,146,691","2,146,691"
"",Romania,,,"68,399",,"68,399"
"",Sweden,,,,"2,362,205","2,362,205"
"",Switzerland,,,"430,108",,"430,108"
"",United States of America,,,"1,000,000",,"1,000,000"
"",USA for UNHCR,,"160,000",,"175,423","335,423"
"",Afghanistan subtotal,"9,889,300","19,942,984","4,079,636","16,476,670","50,388,590"
"",ISLAMIC REPUBLIC OF IRAN,,,,,
"",Australia,"611,975",,,,"611,975"
"",Brazil,"550,000",,,,"550,000"
"",CERF,"1,492,648",,,,"1,492,648"
"",Czech Republic,"63,397",,,,"63,397"
"",European Union,"4,110,501",,,,"4,110,501"
"",France,"412,088",,,,"412,088"
"",Germany,"1,424,501",,,,"1,424,501"
"",Japan,"6,000,000",,,,"6,000,000"
"",Norway,"436,019",,,"1,705,902","2,141,922"
"",Islamic Republic of Iran subtotal,"15,101,130",0,0,"1,705,902","16,807,032"
"",PAKISTAN,,,,,
"",Australia,"759,440",,,"802,139","1,561,579"
"",Australia for UNHCR,,,"8,490","31,292","39,782"
"",Belgium,"2,046,385",,"682,128",,"2,728,513"
"",Brazil,"350,000",,,,"350,000"
"",Canada,,,,"4,077,472","4,077,472"
"",CERF,,,"7,758,002",,"7,758,002"
"",Charities Aid Foundation,,,,"12,245","12,245"
"",Espana con ACNUR,,,,"26,821","26,821"
"",European Union,"2,912,176",,"4,075,515",,"6,987,691"
"",Lebara Foundation,"141,443",,,,"141,443"
"",Germany,,"10,387,782","2,985,661",,"13,373,443"
"",HQ online donations,,,,"4,205","4,205"
"",Japan,"6,286,250",,"53,737,500",,"60,023,750"
"",Japan Association for UNHCR,,,,"26,139","26,139"
"",Norway,,,,"1,431,127","1,431,127"
"",Private donors in Canada,,,,"1,052","1,052"
"",Private donors in China,,,,"1,765","1,765"
"",Private donors in Italy,,,,"129,761","129,761"
"",Private donors in the Republic of Korea,"5,826",,608,"2,148","8,582"
"",Private donors in Pakistan,,,,"65,562","65,562"
"",Private donors in Switzerland,,,231,"4,559","4,790"
"",Spain,"107,296",,,,"107,296"
"",Switzerland,"268,817",,"53,763",,"322,581"
"",United States of America,,,"30,500,000",,"30,500,000"
"",Deutsche Stiftung für UNO-Flüchtlingshilfe,,,"400,000",,"400,000"
"",USA for UNHCR,"15,000",,,"20,000","35,000"
"",Pakistan subtotal,"12,892,633","10,387,782","100,201,898","6,636,287","130,118,601"
Total,"37,883,063","30,330,766","104,281,534","75,392,486","247,887,850",
"PILLAR 1Refugeeprogramme"
PILLAR 1
"PILLAR 3Reintegrationprojects"
PILLAR 3
"PILLAR 4IDPprojects"
PILLAR 4
