Earmarking,Donor,AB,,SB,
South-West Asia,,,,,
"",European Commission,"2,366,864",,,0
"",Sweden,"5,402,010",,,0
"",United States,"22,970,000",,,0
Sub-total,,"30,738,874",,,0
Afghanistan,,,,,
"",Australia,"2,688,372",,,0
"",Australia for UNHCR,"81,711",,,0
"",Austria,"7,094",,,0
"",Denmark,"3,249,859",,,0
"",European Commission,"7,277,837",,,0
"",France,"241,838",,,0
"",Germany,"1,551,675",,,0
"",Japan,"3,300,000",,,0
"",Japan Association for UNHCR,"1,762",,,0
"",Liechtenstein,"32,520",,,0
"",Netherlands,"2,410,000",,,0
"",Norway,"1,597,444",,,0
"",Private donors in Italy,"113,732",,,0
"",Private donors in the United Kingdom,"1,765",,,0
"",Spain,"235,632",,,0
"",Switzerland,"1,200,625",,,0
"",United Kingdom,"448,650",,,0
"",United States,"920,061",,,0
"",USA for UNHCR,"7,375",,,0
Sub-total,,"25,367,953",,,0
Earmarking,Donor,AB,SB
Islamic Republic of Iran,,,
"",European Commission,"1,504,837",0
"",Japan,"1,000,000",0
"",Norway,"43,277",0
"",United States,"144,627",0
Sub-total,,"2,692,741",0
Pakistan,,,
"",Amitié sans Frontières (Monaco),0,"48,368"
"",Association française de soutien à l’UNHCR,0,"118,484"
"",Australia for UNHCR,"5,006","9,222"
"",Deutsche Stiftung für UNO-Flüchtlingshilfe E.V.,"637,755",0
"",European Commission,"3,932,905","2,063,696"
"",Germany,"296,209",0
"",Islamic Association of Bahrain,0,"9,970"
"",Italy,0,"84,643"
"",Japan,"2,500,000",0
"",Japan Association for UNHCR,"116,283","129,281"
"",Kuwait,0,"500,000"
"",Private donors in Austria,"1,568",59
"",Private donors in Canada,0,"192,369"
"",Private donors in the Czech Republic,148,0
"",Private donors in Greece,0,"10,349"
"",Private donors in Italy,"10,123","26,214"
"",Private donors in the United States,0,500
"",Private donors in the United Kingdom,0,"3,565"
"",Online donations (Headquarters),0,"30,427"
"",Société Générale Paris La Défense (France),"20,400",0
"",Spain,"473,934","20,616"
"",United Kingdom,"500,000",0
"",United States,"1,020,800",0
"",USA for UNHCR,"300,000","149,978"
Sub-total,,"9,815,130","3,397,741"
"",,,
Total,,"68,614,698","3,397,741"
