"",,,PILLAR 1,PILLAR 2,PILLAR 3,PILLAR 4,
"",Operation,,Refugee,Stateless,Reintegration,IDP,Total
"",,,programme,programme,projects,projects,
FINAL BUDGET,,,"59,970,189","1,489,108","59,679,718","40,215,307","161,354,322"
Income from contributions1,,,"15,344,778",0,"11,345,245","13,511,938","40,201,961"
Other funds available / transfers,,,"15,143,063","78,690","2,813,917","2,533,374","20,569,043"
"",Total funds available,,"30,487,841","78,690","14,159,162","16,045,311","60,771,004"
EXPENDITURE BY OBJECTIVE,,,,,,,
Favourable Protection Environment,,,,,,,
Law and policy,,,"256,203",0,0,0,"256,203"
Administrative institutions and practice,,,"145,675",0,0,0,"145,675"
Access to legal assistance and remedies,,,"917,209",0,0,"483,092","1,400,300"
Access to territory and refoulement risk reduced,,,"266,319",0,0,0,"266,319"
Public attitude towards people of concern,,,"514,230",0,595,0,"514,826"
"",Subtotal,,"2,099,636",0,595,"483,092","2,583,323"
Fair Protection Processes and Documentation,,,,,,,
Identification of statelessness,,,0,"77,367",0,0,"77,367"
Registration and profiling,,,"570,958",0,0,"449,224","1,020,182"
Status determination procedures,,,"1,133,555",0,0,0,"1,133,555"
Individual documentation,,,"1,064,843",0,0,"377,728","1,442,571"
"",Subtotal,,"2,769,355","77,367",0,"826,952","3,673,674"
Security from Violence and Exploitation,,,,,,,
Prevention and response to SGBV,,,"2,415,428",0,0,0,"2,415,428"
Protection of children,,,"830,710",0,0,0,"830,710"
"",Subtotal,,"3,246,138",0,0,0,"3,246,138"
"",,PILLAR 1,PILLAR 2,PILLAR 3,PILLAR 4,,
Operation,,Refugee,Stateless,Reintegration,IDP,,Total
"",,programme,programme,projects,projects,,
Basic Needs and Essential Services,,,,,,,
Health,,"3,256,045",0,"718,906",0,,"3,974,951"
Reproductive health and HIV services,,"763,920",0,0,0,,"763,920"
Nutrition,,"317,363",0,0,0,,"317,363"
Water,,"666,467",0,"1,119,707",0,,"1,786,174"
Shelter and infrastructure,,"158,132",0,0,"6,893,466",,"7,051,598"
Basic and domestic items,,0,0,0,"2,205,325",,"2,205,325"
Services for people with specific needs,,"1,297,633",0,"404,179",0,,"1,701,812"
Education,,"3,540,059",0,"1,500,892",0,,"5,040,952"
Subtotal,,"9,999,619",0,"3,743,684","9,098,791",,"22,842,094"
Community Empowerment and Self-Reliance,,,,,,,
Community mobilization,,"886,012",0,0,"826,502",,"1,712,514"
Coexistence with local communities,,"2,028",0,"1,911,173",0,,"1,913,201"
Self-reliance and livelihood activities,,"153,387",0,"525,767",0,,"679,154"
Subtotal,,"1,041,427",0,"2,436,941","826,502",,"4,304,870"
Durable Solutions,,,,,,,
Comprehensive solutions strategy,,"1,199,819",0,"1,429,925",0,,"2,629,743"
Voluntary return,,"2,532,347",0,0,"1,549,034",,"4,081,381"
Resettlement,,"747,627",0,34,0,,"747,661"
Subtotal,,"4,479,793",0,"1,429,959","1,549,034",,"7,458,785"
"Leadership, Coordination and Partnerships",,,,,,,
Coordination and partnerships,,"498,867",0,0,"308,123",,"806,990"
Camp management and coordination,,0,0,0,"835,074",,"835,074"
Emergency management,,0,0,0,"95,935",,"95,935"
Donor relations and resource mobilization,,"686,614",0,0,0,,"686,614"
Subtotal,,"1,185,481",0,0,"1,239,132",,"2,424,613"
Logistics and Operations Support,,,,,,,
Logistics and supply,,"838,685",0,58,"471,910",,"1,310,653"
"Operations management, coordination and support",,"1,177,519",0,"644,850","672,698",,"2,495,067"
Subtotal,,"2,016,204",0,"644,908","1,144,608",,"3,805,720"
Headquarters and Regional Support,,,,,,,
Inter-agency and strategic partnership,,40,0,0,0,,40
Emergency response capacity and effectiveness,,0,"1,323",0,0,,"1,323"
Subtotal,,40,"1,323",0,0,,"1,362"
Balance of instalments with implementing partners,,"3,650,151",0,"5,442,408","876,682",,"9,969,242"
Total,,"30,487,843","78,690","13,698,496","16,044,794",,"60,309,822"
