"",C,rrent year's projects,"Prior years'projects",,
"","Annualprogrammebudget",,"Supplementaryprogramme budget",Total,"Annual andsupplementaryprogramme budgets"
"Protection, monitoring and coordination","4,524,152",,"629,112","5,153,264",0
Community services,"418,622",,0,"418,622","48,552"
Domestic needs and household support,"16,905",,"105,420","122,325","61,416"
Education,0,,0,0,"22,390"
Food,155,,"1,979","2,134",0
Forestry,0,,0,0,"9,925"
Health and nutrition,"1,550,648",,0,"1,550,648","213,498"
Legal assistance,"304,059",,0,"304,059","181,645"
Operational support (to agencies),"252,501",,"33,702","286,203","142,972"
Sanitation,0,,0,0,"32,260"
Shelter and infrastructure,"63,302",,"245,322","308,624","248,033"
Transport and logistics,"1,508,643",,"520,820","2,029,463","2,131,876"
Water,0,,0,0,"43,393"
Instalments with implementing partners,"743,739",,"127,232","870,971","(3,135,960)"
Sub-total operational activities,"9,382,726",,"1,663,587","11,046,313",0
Programme support,"2,697,642",,"154,153","2,851,795",0
