"",,PILLAR 1,PILLAR 2,PILLAR 3,PILLAR 4,
"",Operation,Refugee,Stateless,Reintegration,IDP,Total
"",,programme,programme,projects,projects,
Afghanistan,Budget,"38,231,787",0,"65,790,765","27,352,674","131,375,226"
"",Expenditure,"18,327,593",0,"30,541,908","15,056,315","63,925,816"
Islamic Republic of Iran,Budget,"59,588,289",0,0,0,"59,588,289"
"",Expenditure,"38,437,155",0,0,0,"38,437,155"
Pakistan,Budget,"59,970,189","1,489,108","59,679,718","40,215,307","161,354,322"
"",Expenditure,"30,487,843","78,690","13,698,496","16,044,794","60,309,822"
"",Total budget,"157,790,265","1,489,108","125,470,483","67,567,981","352,317,837"
"",Total expenditure,"87,252,591","78,690","44,240,403","31,101,109","162,672,793"
