Expenditure breakdown,Current year's projects,"Previous years'projects",,
"",Annual budget,"Supplementarybudget",Total,"Annual andsupplementarybudgets"
"Protection, monitoring andcoordination","6,757,072","30,731","6,787,803",0
Community services,"432,211",0,"432,211","83,079"
"Domestic needs and householdsupport","70,344","265,098","335,442",20
Education,"1,763,193",0,"1,763,193","240,373"
Health and nutrition,"2,445,326",0,"2,445,326","376,119"
Legal assistance,"1,488,260",0,"1,488,260","134,910"
Operational support (to agencies),"3,035,584",0,"3,035,584","312,984"
Sanitation,"14,523",0,"14,523",(878)
Shelter and infrastructure,"469,917","649,504","1,119,420","30,978"
Transport and logistics,"490,318","324,991","815,310","2,306,866"
Water,"239,010",0,"239,010","64,824"
"Instalments with implementingpartners","619,414","198,610","818,024","(3,549,275)"
Sub-total operational activities,"17,825,173","1,468,933","19,294,107",0
Programme support,"2,648,713",0,"2,648,713",0
Total expenditure,"20,473,887","1,468,933","21,942,820",0
