"",PILLAR 1,PILLAR 3,PILLAR 4,
"",Refugee,Reintegration,IDP,Total
"",programme,projects,projects,
Final budget,"43,425,747","77,616,776","18,622,582","139,665,105"
Income from contributions1,"19,613,567","24,877,236","8,116,435","52,607,237"
Other funds available / adjustments / transfers,"13,652,015","15,786,846","5,317,418","34,756,279"
Total funds available,"33,265,582","40,664,082","13,433,853","87,363,517"
Expenditure breakdown,,,,
Favourable Protection Environment,,,,
Law and policy,0,0,"910,559","910,559"
Access to legal assistance and remedies,0,"3,065,555","490,040","3,555,595"
Subtotal,0,"3,065,555","1,400,599","4,466,154"
Fair Protection Processes and Documentation,,,,
Registration and profiling,0,0,"376,458","376,458"
Status determination procedures,"604,418",0,0,"604,418"
Subtotal,"604,418",0,"376,458","980,876"
Security from Violence and Exploitation,,,,
Prevention and response to SGBV,0,"367,993",0,"367,993"
Freedom of movement and detention risk reduced,"302,209",0,0,"302,209"
Subtotal,"302,209","367,993",0,"670,201"
Basic Needs and Essential Services,,,,
Health,"1,531,119","484,925","337,141","2,353,185"
Water,0,"1,754,290","1,057,465","2,811,755"
Sanitation and hygiene,0,"523,614","188,229","711,843"
Shelter and infrastructure,0,"10,095,793","1,349,520","11,445,313"
Basic and domestic items,"309,922","2,561,240","962,337","3,833,500"
Education,0,"2,243,437",0,"2,243,437"
Subtotal,"1,841,041","17,663,298","3,894,693","23,399,033"
"","PILLAR 1Refugeeprogramme","PILLAR 3Reintegrationprojects","PILLAR 4IDPprojects",Total
Community Empowerment and Self Reliance,,,,
Self-reliance and livelihoods,0,"4,951,815","2,882,014","7,833,828"
Subtotal,0,"4,951,815","2,882,014","7,833,828"
Durable Solutions,,,,
Voluntary return,"19,642,439","519,097","229,881","20,391,417"
Reintegration,"302,716","3,130,794","856,993","4,290,503"
Integration,"302,209",0,0,"302,209"
Resettlement,"458,286",0,0,"458,286"
Subtotal,"20,705,650","3,649,891","1,086,874","25,442,415"
"Leadership, Coordination and Partnerships",,,,
Coordination and partnerships,0,"733,936","376,458","1,110,394"
Emergency management,0,0,"752,916","752,916"
Donor relations and resource mobilization,"2,497,421","2,201,807","1,129,375","5,828,603"
Subtotal,"2,497,421","2,935,743","2,258,750","7,691,913"
Logistics and Operations Support,,,,
Logistics and supply,"6,272,480",0,0,"6,272,480"
"Operations management, coordination and support",181,"2,229,336",0,"2,229,517"
Subtotal,"6,272,661","2,229,336",0,"8,501,996"
Balance of instalments with implementing partners,"1,042,182","5,800,452","1,534,464","8,377,099"
Total,"33,265,580","40,664,082","13,433,853","87,363,515"
