"",,PILLAR 1,PILLAR 2,PILLAR 3,PILLAR 4,
"",Country,Refugee,Stateless,Reintegration,IDP,
"",,programme,programme,projects,projects,Total
Afghanistan,Budget,"32,108,113",0,"45,070,681","23,326,335","100,505,129"
"",Expenditure,"26,548,972",0,"40,656,679","13,479,878","80,685,529"
Islamic Republic of Iran,Budget,"39,882,139",0,0,0,"39,882,139"
"",Expenditure,"30,878,132",0,0,0,"30,878,132"
Pakistan,Budget,"57,877,611","815,199","22,373,910","152,286,455","233,353,175"
"",Expenditure,"41,091,909","559,758","12,518,293","108,988,977","163,158,937"
"",Total budget,"129,867,863","815,199","67,444,591","175,612,790","373,740,443"
"",Total expenditure,"98,519,013","559,758","53,174,972","122,468,855","274,722,598"
