"",,,PILLAR 1,PILLAR 3,PILLAR 4,
"",Operation,,Refugee,Reintegration,IDP,Total
"",,,programme,projects,projects,
FINAL BUDGET,,,"38,231,787","65,790,765","27,352,674","131,375,226"
Income from contributions1,,,"13,622,424","17,546,135","9,500,949","40,669,507"
Other funds available / transfers,,,"4,705,169","12,995,773","5,778,439","23,479,381"
"",Total funds available,,"18,327,593","30,541,908","15,279,388","64,148,888"
EXPENDITURE BY OBJECTIVE,,,,,,
Favourable Protection Environment,,,,,,
Law and policy,,,"1,133,630",0,0,"1,133,630"
Access to legal assistance and remedies,,,0,"1,713,960","736,843","2,450,803"
"",,Subtotal,"1,133,630","1,713,960","736,843","3,584,433"
Fair Protection Processes and Documentation,,,,,,
Registration and profiling,,,0,0,"1,551,905","1,551,905"
"",,Subtotal,0,0,"1,551,905","1,551,905"
"",,PILLAR 1,,PILLAR 3,PILLAR 4,
Operation,,Refugee,,Reintegration,IDP,Total
"",,programme,,projects,projects,
Security from Violence and Exploitation,,,,,,
Prevention and response to SGBV,,0,,"1,241,215","538,653","1,779,868"
Subtotal,,0,,"1,241,215","538,653","1,779,868"
Basic Needs and Essential Services,,,,,,
Health,,"1,136,676",,0,0,"1,136,676"
Water,,0,,"1,866,349","585,728","2,452,077"
Shelter and infrastructure,,0,,"10,083,145","2,217,928","12,301,073"
Basic and domestic items,,"1,229,743",,"3,569,506","3,134,121","7,933,371"
Services for people with specific needs,,0,,0,"589,973","589,973"
Education,,"1,133,630",,"1,338,794","538,653","3,011,076"
Subtotal,,"3,500,049",,"16,857,794","7,066,403","27,424,246"
Community Empowerment and Self-Reliance,,,,,,
Self-reliance and livelihood activities,,0,,"3,423,268","1,277,778","4,701,046"
Subtotal,,0,,"3,423,268","1,277,778","4,701,046"
Durable Solutions,,,,,,
Voluntary return,,"13,123,066",,"1,042",0,"13,124,108"
Reintegration,,0,,"1,359,389",0,"1,359,389"
Subtotal,,"13,123,066",,"1,360,431",0,"14,483,497"
Logistics and Operations Support,,,,,,
Logistics and supply,,-137,,137,"3,178,575","3,178,575"
"Operations management, coordination and support",,0,,"3,523,567",0,"3,523,567"
Subtotal,,-137,,"3,523,704","3,178,575","6,702,142"
Balance of instalments with implementing partners,,"570,985",,"2,421,536","706,158","3,698,679"
Total,,"18,327,593",,"30,541,908","15,056,315","63,925,816"
