"",PILLAR 1,,,
"",Refugee,,Total,
"",programme,,,
Final budget,,"53,221,255",,"53,221,255"
Income from contributions1,,"19,175,234",,"19,175,234"
Other funds available / adjustments / transfers,,"11,676,423",,"11,676,423"
Total funds available,,"30,851,657",,"30,851,657"
Expenditure breakdown,,,,
Favourable Protection Environment,,,,
International and regional instruments,,"91,762",,"91,762"
Law and policy,,"137,033",,"137,033"
Access to legal assistance and remedies,,"516,672",,"516,672"
Public attitude towards persons of concern,,"207,930",,"207,930"
Subtotal,,"953,397",,"953,397"
"",,"PILLAR 1Refugeeprogramme",Total,
"",Fair Protection Processes and Documentation,,,
"",Reception conditions,"202,019","202,019",
"",Status determination procedures,"183,524","183,524",
"",Individual documentation,"99,014","99,014",
"",Civil registration and status documentation,"178,920","178,920",
"",Subtotal,"663,477","663,477",
"",Security from Violence and Exploitation,,,
"",Prevention and response to SGBV,"330,923","330,923",
"",Freedom of movement and detention risk reduced,"45,881","45,881",
"",Protection of children,"224,401","224,401",
"",Subtotal,"601,204","601,204",
"",Basic Needs and Essential Services,,,
"",Health,"9,646,750","9,646,750",
"",Reproductive health and HIV services,"252,690","252,690",
"",Food security,"152,236","152,236",
"",Water,"373,987","373,987",
"",Sanitation and hygiene,"695,305","695,305",
"",Shelter and infrastructure,"1,313,477","1,313,477",
"",Basic and domestic items,"163,008","163,008",
"",Services for people with specific needs,"697,923","697,923",
"",Education,"2,242,800","2,242,800",
"",Subtotal,"15,538,175","15,538,175",
"",Community Empowerment and Self Reliance,,,
"",Community mobilization,"389,461","389,461",
"",Self-reliance and livelihoods,"981,213","981,213",
"",Subtotal,"1,370,674","1,370,674",
"",Durable Solutions,,,
"",Comprehensive solutions strategy,"208,571","208,571",
"",Voluntary return,"2,564,652","2,564,652",
"",Resettlement,"891,715","891,715",
"",Subtotal,"3,664,938","3,664,938",
"","Leadership, Coordination and Partnerships",,,
"",Coordination and partnerships,"142,541","142,541",
"",Donor relations and resource mobilization,"313,631","313,631",
"",Subtotal,"456,173","456,173",
"",Logistics and Operations Support,,,
"",Logistics and supply,"180,159","180,159",
"","Operations management, coordination and support","300,474","300,474",
"",Subtotal,"480,633","480,633",
"",Balance of instalments with implementing partners,"7,122,986","7,122,986",
Total,"30,851,656","30,851,656",,
