"",,,PILLAR 1,PILLAR 2,PILLAR 3,PILLAR 4,
"",,,Refugee,Stateless,Reintegration,IDP,Total
"",Operation,,programme,programme,projects,projects,
Afghanistan,,Budget,"43,425,747",0,"77,616,776","18,622,582","139,665,105"
"",,Expenditure,"33,265,580",0,"40,664,082","13,433,853","87,363,515"
Islamic Republic of Iran,,Budget,"53,221,255",0,0,0,"53,221,255"
"",,Expenditure,"30,851,656",0,0,0,"30,851,656"
Pakistan,,Budget,"53,963,279","876,992","28,786,519","52,968,645","136,595,435"
"",,Expenditure,"30,175,505","872,617","13,247,839","31,274,485","75,570,446"
"",,Total budget,"150,610,281","876,992","106,403,295","71,591,227","329,481,795"
"",,Total expenditure,"94,292,741","872,617","53,911,921","44,708,338","193,785,617"
