"",,,PILLAR 1,,
"",Operation,,Refugee programme,Total,
FINAL BUDGET,,,"59,588,289",,"59,588,289"
Income from contributions1,,,"16,977,947",,"16,977,947"
Other funds available / transfers,,,"21,459,208",,"21,459,208"
"",Total funds available,,"38,437,155",,"38,437,155"
EXPENDITURE BY OBJECTIVE,,,,,
Favourable Protection Environment,,,,,
Law and policy,,,"100,561",,"100,561"
Access to legal assistance and remedies,,,"499,468",,"499,468"
Public attitude towards people of concern,,,"448,400",,"448,400"
"",Subtotal,,"1,048,429",,"1,048,429"
Fair Protection Processes and Documentation,,,,,
Reception conditions,,,"200,585",,"200,585"
Registration and profiling,,,"186,672",,"186,672"
Status determination procedures,,,"186,672",,"186,672"
Individual documentation,,,"377,675",,"377,675"
Civil registration and status documentation,,,"186,672",,"186,672"
"",Subtotal,,"1,138,276",,"1,138,276"
Security from Violence and Exploitation,,,,,
Prevention and response to SGBV,,,"445,290",,"445,290"
Freedom of movement and detention risk reduced,,,"186,672",,"186,672"
Protection of children,,,"95,055",,"95,055"
"",Subtotal,,"727,017",,"727,017"
"",,PILLAR 1,,
Operation,,Refugee programme,Total,
Basic Needs and Essential Services,,,,
Health,,"18,590,431",,"18,590,431"
Reproductive health and HIV services,,"250,332",,"250,332"
Water,,"216,622",,"216,622"
Sanitation and hygiene,,"2,425,352",,"2,425,352"
Shelter and infrastructure,,"625,929",,"625,929"
Services for people with specific needs,,"865,465",,"865,465"
Education,,"2,964,470",,"2,964,470"
Subtotal,,"25,938,600",,"25,938,600"
Community Empowerment and Self-Reliance,,,,
Community mobilization,,"111,325",,"111,325"
Natural resources and shared environment,,"220,320",,"220,320"
Self-reliance and livelihood activities,,"2,596,807",,"2,596,807"
Subtotal,,"2,928,453",,"2,928,453"
Durable Solutions,,,,
Comprehensive solutions strategy,,"298,889",,"298,889"
Voluntary return,,"2,618,797",,"2,618,797"
Resettlement,,"1,167,599",,"1,167,599"
Subtotal,,"4,085,285",,"4,085,285"
"Leadership, Coordination and Partnerships",,,,
Coordination and partnerships,,"130,445",,"130,445"
Donor relations and resource mobilization,,"414,175",,"414,175"
Subtotal,,"544,620",,"544,620"
Logistics and Operations Support,,,,
Logistics and supply,,"123,677",,"123,677"
"Operations management, coordination and support",,"409,144",,"409,144"
Subtotal,,"532,820",,"532,820"
Balance of instalments with implementing partners,,"1,493,655",,"1,493,655"
Total,,"38,437,155",,"38,437,155"
