"",,,,
"",,,,
South-West Asia subregion,European Commission,"1,577,923",,"1,577,923"
"",Sweden,"7,542,263",,"7,542,263"
"",United States of America,"25,000,000",,"25,000,000"
South-West Asia subtotal,"34,120,185",,"34,120,185",
Afghanistan,Australia,"1,294,964",,"1,294,964"
"",Australia for UNHCR,"30,116",,"30,116"
"",Belgium,"1,404,494",,"1,404,494"
"",Canada,"2,396,166",,"2,396,166"
"",Denmark,"1,717,328",,"1,717,328"
"",España con ACNUR (Spain),402,,402
"",European Commission,"10,060,419",,"10,060,419"
"",France,"393,701",,"393,701"
"",Germany,"3,497,233",,"3,497,233"
"",Greece,"200,000",,"200,000"
"",HQ Online Donations (Switzerland),"1,045",,"1,045"
"",Italy,"1,129,419",,"1,129,419"
"",Japan,"11,115,702",,"11,115,702"
"",Japan Association for UNHCR,"2,097",,"2,097"
"",Netherlands,"3,676,471",,"3,676,471"
"",Norway,"1,690,043",,"1,690,043"
"",Private donors in Canada,"4,828",,"4,828"
"",Private donors in Italy,"98,477",,"98,477"
"",Private donors in Switzerland,134,,134
"",Private donors in the United Kingdom,16,,16
"",Sweden,"4,253,706",,"4,253,706"
"",Switzerland,"652,742",,"652,742"
"",United Kingdom,"350,877",,"350,877"
"",United States of America,"1,300,000",,"1,300,000"
"",USA for UNHCR,"514,100",,"514,100"
Afghanistan subtotal,"45,784,482",,"45,784,482",
Islamic Republic of Iran,European Commission,"2,407,900",,"2,407,900"
Germany,"1,317,523",,"1,317,523",
Greece,"66,524",,"66,524",
Japan,"2,604,587",,"2,604,587",
Japan Association for UNHCR,"105,567",,"105,567",
Netherlands,"5,162",,"5,162",
Spain,"348,675",,"348,675",
Islamic Republic of Iran subtotal,"6,855,938",,"6,855,938",
""
""
""
""
""
""
"",,,,,
"",Pakistan,Australia,"1,264,209","1,853,620","3,117,829"
"",Australia for UNHCR,,"303,753","303,753",
"",Canada,,"3,871,415","3,871,415",
"",Central Emergency Response Fund (CERF),,"2,009,346","2,009,346",
"",Czech Republic,,"242,188","242,188",
"",Denmark,,"849,160","849,160",
"",Deutsche Stiftung für UNO (Germany),,"194,561","194,561",
"",España con ACNUR (Spain),,"74,010","74,010",
"",European Commission,"1,555,568","10,158,314","11,713,882",
"",Finland,"376,506","1,297,071","1,673,577",
"",France,,"1,541,166","1,541,166",
"",Germany,,"7,987,719","7,987,719",
"",HQ Online Donations (Switzerland),881,"87,433","88,314",
"",Ireland,,"56,799","56,799",
"",Italy,"150,602","1,622,444","1,773,046",
"",Japan,"4,234,256","4,205,607","8,439,863",
"",Japan Association for UNHCR,,"37,060","37,060",
"",Netherlands,,"1,367,647","1,367,647",
"",Norway,,"3,087,380","3,087,380",
"",Oman,,"1,860,000","1,860,000",
"",Private donors in Canada,"3,149","105,893","109,042",
"",Private donors in China,125,"9,653","9,778",
"",Private donors in Italy,,"32,700","32,700",
"",Private donors in Korea,"2,075",,"2,075",
"",Private donors in Luxembourg,87,,87,
"",Private donors in Pakistan,,"178,976","178,976",
"",Private donors in Sweden,,"33,745","33,745",
"",Private donors in the United Kingdom,"2,778","12,844","15,622",
"",Private donors in the United States,,47,47,
"",Republic of Korea,,"279,000","279,000",
"",Russian Federation,,"930,000","930,000",
"",Slovenia,,"65,309","65,309",
"",Spain,"348,675","3,920,376","4,269,051",
"",Stichting Vluchteling (Netherlands),,"104,674","104,674",
"",Sweden,"1,300,390","2,500,000","3,800,390",
"",Switzerland,,"428,967","428,967",
"",United Arab Emirates,,"28,037,383","28,037,383",
"",United Nations Children's Fund (UNICEF),,"1,652,677","1,652,677",
"",United States of America,"3,914","35,898,000","35,901,914",
"",USA for UNHCR,,"1,191,029","1,191,029",
"",Pakistan subtotal,"9,243,215","118,087,965","127,331,179",
Total,"96,003,820","118,087,965","214,091,784",,
